"Company","CDM","Status","Type","Geography","Public/ Private","Asset Types","PE AUM (billions)","RE AUM (billions)","Number of Sites","Rank","Tier","HQ Region","Frameworks","Notes","","BFO Company ID","BFO Company Name","Zoom Company ID","Zoom Company Name","Zoom Webiste","Email Domain","Contacts","Contact Types","Salesperson Tiered List","Status","","","","","PE OR RE","Tier List","","","","",""
"JJA (a Towerbrook co.)","","","","","","","","","","Missing Data","Not on Target List","Not NAM","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"JLL Partners","Cristy House","Hold Off","","","","","","","","Missing Data","Tier 3","","CDP, SBT, -","","","","","","","","","0","","N/A","TRUE","","","","","","0","","","","",""
"Pacific Investment Management Company LLC","Dan Baldauf","Inside Sales","Asset Management Firm","Global","Public","Multifamily","","0.5","50","06","Not on Target List","North America","UN PRI, -","Not sure that this is a good company to target","","","PIMCO Real Estate Asset Management","30491558","Pimco LLC","www.pimco.com","firstname.lastname@pimco.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"John Flatley Co.","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"John Mattson Fastighetsföretagen AB","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Pacific Urban Investors","Dan Baldauf","Inside Sales","Owner Operator","NAM","Public","Multifamily","","","200","05","Not on Target List","North America","GRESB, -","","","","","","","","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Jordan Industries International","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Joyville Shapoorji Housing Private Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"JP Morgan Asset Management","Cristy House","","","","","","","","","Missing Data","Tier 1","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"JP Morgan Chase","Cristy House","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"JPMC","Cristy House","Hold Off","","","","","","","","Missing Data","Tier 1","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"JR East Real Estate Asset Management Co., Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"JSM (a Towerbrook co.)","","","","","","","","","","Missing Data","Not on Target List","Not NAM","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Juniper Communities","Not targeting opportunity size","Hold Off","Owner Operator","","","Multifamily - Senior Living Branded","","","","Not Targeting","Not on Target List","","-","LTC Owner","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Jupiter Asset Management","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","United Kingdom","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"JUT Land Development Co., LTD","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Jyske Capital","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","Denmark","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"K. Wah International Holdings Limited","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"K&R Realty","Not targeting opportunity size","Hold Off","Owner Operator","State/Regional","Private","Multifamily","","","15","Not Targeting","Not on Target List","","-","Old Client - Meet in person.  Set up recurring meeting. ","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Paladin Realty Partners","Dan Baldauf","Inside Sales","Asset Management Firm","Global","Private","Multifamily","","1","50","05","Not on Target List","North America","GRESB, -","-","","","PALADIN REALTY PARTNERS","209469981","Paladin Realty Partners LLC","www.paladinrealty.com","firstname.lastname@paladinrp.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"K2A Knaust & Andersson Fastigheter AB","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KaiLong Investment Management Cayman Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KaiLong Investment Management II Cayman Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kaisa Group Holdings Ltd.","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kaiser Foundation Health Plan","Cristy House","","","","","","","","","","Tier 2","","","","","","","","","","","0","","Cristy House","TRUE","","","","","","","","","","",""
"Kajima Properties Europe Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KAJIMA Real Estate Investment Advisors Inc.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kanden Realty Investment Advisors Co.,Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kardham","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kastle Systems","","","Other Provider","","","","","","","","Not on Target List","","","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Kaufman & Broad","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kaufman Organization","Not targeting opportunity size","Hold Off","Owner Operator","State/Regional","Private","Office, Multifamily","","","48","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Parmenter","Dan Baldauf","Inside Sales","Asset Management Firm","NAM","Private","Commercial Office","","3","16","04","Not on Target List","","-","Old Client","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KB Home","Not targeting opportunity size","Hold Off","Developer","","","","","","","Not Targeting","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KBI Global Investors","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","Ireland","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KC Gardner Company","Not targeting opportunity size","Hold Off","Developer","State/Regional","Private","Retail/Mixed Use","","1","51","Not Targeting","Not on Target List","North America","-","","","","","","","gardnercompany.net/about/","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KCR Capital","Not targeting opportunity size","Hold Off","","","Private","","","","","Not Targeting","Not on Target List","North America","-","-","","","","474999492","Kcr Capital LLC","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KDC","","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KDX Realty Investment Corporation","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Keefe, Bruyette, & Woods","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KeHE (a Towerbrook co.)","","","","","","","","","","Missing Data","Not on Target List","North America","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Keihanshin Building Co.,Ltd.","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kelly Companies","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kelso Private Equity","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kemper","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kenco (PPC-PC)","Kendal Etling","","","","","","","","","","Tier 2","","","","","","","","","","","0","","Kendal Etling","TRUE","","","","","","","","","","",""
"Kenco Logistics (a Pritzker Private Capital co.)","Dan Baldauf","Client","Portfolio Company","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Kendall Square REIT Management, Inc.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kendra Scott","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kenedix Office Investment Corporation","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KENEDIX Real Estate Fund Management, Inc.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kennedy Wilson","Dan Baldauf","Lost - Not Sold","Asset Management Firm","Global","Public","Multifamily","","2.6","150","07","Not on Target List","North America","CDP, -","-","","","Kennedy Wilson Properties","63064732","Kennedy-Wilson Holdings Inc","www.kennedywilson.com","firstinitiallastname@kennedywilson.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Kennedy-Wilson","Sam Ouimet","","","","","","","","","","Tier 2","","","","","","","","","","","0","","Sam Ouimet","TRUE","","","","","","","","","","",""
"Keppel DC REIT Management Pte. Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Keppel Land Limited (Keppel Real Estate Division)","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Keppel REIT Management Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","Singapore ","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kering, a Simon Property Group Co.","Not target because of company owner","Hold Off","","","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kerogen Capital","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","Hong Kong","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kerry Properties","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kerry Properties Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kew Management","Not targeting opportunity size","Hold Off","Facility Manager","","Private","","","","","Not Targeting","Not on Target List","","-","NoMad Properties . Broker","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Key Bank","Gretchen Bisig","","","","","","","","","Missing Data","Tier 1","","-","","","","","","","","","0","","Gretchen Bisig","TRUE","","","","","","0","","","","",""
"Key Development","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Key Real Estate Co (a Almanac co.)","Dan Baldauf","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Keyframe","Cristy House","","","","","","","","","Missing Data","Tier 3","","-","","","","","","","","","0","","N/A","TRUE","","","","","","0","","","","",""
"KeyPoint Partners","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Keystone Capital Management","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Keystone Property Group","","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kieger AG","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","Switzerland","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Killam Apartment Real Estate Investment Trust","","","Asset Management Firm","NAM","","Multifamily","","5.4","","Missing Data","Not on Target List","North America","CDP, -","","","","","","","killamreit.com/","","0","","#N/A","#N/A","","","","","","0","","","","",""
"PATRIZIA AG","Dan Baldauf","Inside Sales","Asset Management Firm","Global","Public","","","63","300","14","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","#N/A","0","","","","",""
"Kimpton Hotels","Not targeting opportunity size","Hold Off","","","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Pembroke Real Estate LLC","Dan Baldauf","Inside Sales","Owner Operator","NAM","Private","Multifamily","","","","Missing Data","Not on Target List","North America","GRESB, -","-","","","","47760382","Pembroke Real Estate LLC","www.pembroke.com","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Pennsylvania Real Estate Investment Trust","Dan Baldauf","Inside Sales","Owner Operator","State/Regional","Public","Retail/Mixed Use","","","50","04","Not on Target List","North America","CDP, -","-","","","Pennsylvania Real Estate Investment Trust","82658034","Pennsylvania Real Estate Investment Trust","www.preit.com","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"KINDOM DEVELOPMENT CO., LTD.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kings Cross Central General Partner Ltd (KCCGP)","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KingSett Capital","Dan Baldauf","Lost - Not Sold","Asset Management Firm","NAM","Private","Multifamily","","","50","06","Not on Target List","North America","GRESB, UN PRI, SBT, -","-","","","KingSett Capital","156926979","KingSett Capital Inc","www.kingsettcapital.com","firstname.lastname@kingsettcapital.com","0","","#N/A","#N/A","","","","","","0","","","","",""
"Penzance Fund Manager","Dan Baldauf","Inside Sales","","","","Multifamily, Data Centers, Light Industrial/Logistics","","","","Missing Data","Not on Target List","North America","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kite Realty Group Trust","Dan Baldauf","Inside Sales","","","","","","","","","Tier 2","","","","","","","","","","","0","","Dan Baldauf","TRUE","","","","","","","","","","",""
"Kiwi Property Group","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KJR Management","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Phase3 Real Estate partners","Dan Baldauf","Inside Sales","Asset Management Firm","State/Regional","Private","Light Industrial/Logistics, Life Sciences","","1","4","03","Not on Target List","North America","-","","","","","","","","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Klaff Real Estate","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Klaff Realty","","","","","","","","","","Missing Data","Not on Target List","","-","Old Client","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Klarna","Sam Ouimet","","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Sam Ouimet","TRUE","","","","","","0","","","","",""
"KLDiscovery","Sam Ouimet","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KLDiscovery (BX-PC)","Rose Shaver","","","","","","","","","","Tier 2","","","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","","","","","",""
"KLDiscovery (BX)","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Klein Enterprises (a Almanac co.)","Dan Baldauf","Hold Off","Portfolio Company","","","","","","","Missing Data","Not on Target List","","-","","","","Klein Enterprises, LLC","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Klein Enterprises, LLC","Dan Baldauf","Inside Sales","","","","","","","","","Tier 2","","","","","","","","","","","0","","Dan Baldauf","TRUE","","","","","","","","","","",""
"PNC Investments LLC","Dan Baldauf","Inside Sales","Asset Management Firm","NAM","Private","Multifamily","","","","Missing Data","Not on Target List","North America","GRESB, -","-","","","","467000000","PNC Investments LLC","www.pncmanagement.com","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"KLEPIERRE","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Klöckner Pentaplast","Dan Baldauf","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Knight Frank Investment Management","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","","","","Not Targeting","Not on Target List","London","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","#N/A","0","","","","",""
"Kohlberg (BX-PC)","Kendal Etling","","","","","","","","","","Tier 2","","","","","","","","","","","0","","Kendal Etling","TRUE","","","","","","","","","","",""
"Kohlberg Kravis Roberts (KKR)","Cristy House","","","","","","","","","Missing Data","Tier 1","","-","","","","","","","","","0","","Cristy House","TRUE","","","","","","0","","","","",""
"Kojamo Plc","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Koramco Asset Management Co., Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Koramco REITs Management and Trust Co., Ltd.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Korn Ferry","","","Other Provider","","","","","","","","Not on Target List","","","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"KPMG LLP","","","Other Provider","","","","","","","","Not on Target List","","","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Praedium Group","Dan Baldauf","Inside Sales","Asset Management Firm","NAM","Private","Multifamily","","","100","06","Not on Target List","North America","GRESB, UN PRI, -","-","","","The Praedium Group","1109044266","The Praedium Group LLC","www.praediumgroup.com","firstinitiallastname@praediumgroup.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"Kryalos SGR S.p.A.","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kryalos SGR SPA","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KS Partners LLC","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KT Urban","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kungsleden AB","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Preferred Apartment Communities, Inc","Dan Baldauf","Inside Sales","Asset Management Firm","NAM","Public","Multifamily","","4","50","04","Not on Target List","North America","-","","","","","346053038","Preferred Apartment Communities Inc","","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"KVG Universal-Investment-Gesellschaft mbH","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"KWG Property Holding Limited","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Kyndryl","Rose Shaver","Hold Off","","","","","","","","Missing Data","Tier 1","","-","","","","","","","","","0","","Rose Shaver","TRUE","","","","","","0","","","","",""
"L&B CIP Legacy Place I & II, LLC","Not targeting opportunity size","Client","","","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"L&G Investment Management","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","London","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"L&L Holdings","Not targeting opportunity size","Hold Off","Owner Operator","State/Regional","Private","Office","","","","Not Targeting","Not on Target List","","-","SE Client","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"L3 Capital (a Almanac co.)","Dan Baldauf","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"La Banque Postale Asset Management","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","France","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"La Caisse","","","Asset Management Firm","","","","","","","","Not on Target List","","","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"La Financière de l’Echiquier","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","France","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"La Française Asset Management","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","France","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"La Maison Bleue (a Towerbrook co.)","","","","","","","","","","Missing Data","Not on Target List","Not NAM","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"La Poste Immobilier","","","","","","","","","","Missing Data","Not on Target List","","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"LaBella Associates ","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"LADDER CAPITAL CORP A","","","","","","","","","","Missing Data","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Ladder Capital Securities","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Ladenburg Thalmann","","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"LAI Investment Manager Private Limited","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Lake Capital","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Lamar Advertising Co. Cl A","Not targeting opportunity size","Hold Off","Owner Operator","","Public","Specialty - Outdoor Advertising","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Lambda Labs, Inc.","Kendal Etling","Hold Off","","","","","","","","Missing Data","Tier 2","","-","","","","","","","","","0","","Kendal Etling","TRUE","","","","","","0","","","","",""
"Land Securities Group PLC","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Landcom","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Landmark Health","Other Pod","Hold Off","","","","","","","","Missing Data","Not on Target List","","-","Blackstone","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Landsec","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","London","SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Langan (a Towerbrook co.)","","","","","","","","","","Missing Data","Not on Target List","North America","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Lar España Real Estate SOCIMI","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","","GRESB, SBT, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Pretium Partners","Dan Baldauf","Inside Sales","Asset Management Firm","Global","Private","Multifamily","","","","Missing Data","Not on Target List","North America","GRESB, UN PRI, -","-","","","Pretium Partners","1196418277","Pretium Partners LLC","www.pretium.com","firstinitiallastname@pretium.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"LaSalle Capital","Kendal Etling","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"LaSalle Hotel Properties","Not targeting opportunity size","Hold Off","","","","Hotels","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"LATHAM GRP","Not targeting opportunity size","Hold Off","Developer","","","","","","","Not Targeting","Not on Target List","","CDP, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Lawley Insurance (a Pritzker Private Capital co.)","Dan Baldauf","","","","","","","","","Missing Data","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","","","","","",""
"Lawrence Nursing Care Center","Not targeting opportunity size","Hold Off","","State/Regional","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Laz Parking Ltd., LLC","","","","","","Parking Lots","","","","Missing Data","Not on Target List","North America","CDP, -","","","","","","","www.lazparking.com/","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Lazard","Gretchen Bisig","","","","","","","","","","Tier 2","","","","","","","","","","","0","","Gretchen Bisig","TRUE","","","","","","","","","","",""
"Primaris REIT","Dan Baldauf","Inside Sales","Asset Management Firm","NAM","Public","Retail/Mixed Use","","4.3","","Missing Data","Not on Target List","North America","GRESB, CDP, -","-","","","","230441362","Primaris","www.primarisreit.com/","firstinitiallastname@primarisreit.com","0","-","#N/A","#N/A","","","","","","0","","","","",""
"LBA Realty","Sam Ouimet","Inside Sales","Owner Operator","NAM","Private","Commercial Office, Light Industrial/Logistics","","8","80","06","Tier 2","North America","-","Rose S Blackstone company","","","","52086634","LBA Realty LLC","","firstinitiallastname@lbarealty.com","0","-","Sam Ouimet","TRUE","","","","","","0","","","","",""
"Prisim Capital Partners","Dan Baldauf","Inside Sales","Asset Management Firm","State/Regional","Private","Multifamily","","1","20","01","Not on Target List","North America","-","","","","","222069170","Prism Capital Partners LLC","www.prismpartners.net/","","0","-","#N/A","#N/A","","","","","","0","","","","",""
"LeanVal Asset Management AG","Not targeting hq not NAM","Hold Off","","","","","","","","Not Targeting","Not on Target List","Germany","NZAM, -","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
"Lease Direct","Not targeting opportunity size","Hold Off","Partner","","","","","","","Not Targeting","Not on Target List","","-","","","","","","","","","0","","#N/A","#N/A","","","","","","0","","","","",""
